,P1,P2,P3,P4,mean,variance,ei,pi,ucb
180,2,2,1,6,1.6702693853938055e-08,1.4319765095200432,0.024775454620077936,0.049609866717077386,5.983261062152831
181,2,2,1,7,1.7116527027730087e-14,1.4319765095200456,0.02477545379146051,0.04960986528649428,5.983261045450161
182,2,2,2,1,-8.289282379138397e-21,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
183,2,2,2,2,-4.9319893665859205e-15,1.4319765095200456,0.02477545379145936,0.04960986528649242,5.9832610454501385
184,2,2,2,3,-8.289360998839289e-21,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
185,2,2,2,4,6.812343828596926e-20,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
186,2,2,2,5,6.163631289979946e-14,1.4319765095200456,0.024775453791462718,0.0496098652864981,5.983261045450205
187,2,2,2,6,-2.9862320324312245e-14,1.4319765095200456,0.024775453791458152,0.04960986528649031,5.983261045450114
188,2,2,2,7,-4.584302827416066e-08,1.4319765095200432,0.024775451517193126,0.04960986136004033,5.9832609996071096
189,2,2,3,1,-1.4419167200211517e-19,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
190,2,2,3,2,-8.289601983892704e-21,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
191,2,2,3,3,-1.8373421703172986e-26,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
192,2,2,3,4,1.2278641107683212e-36,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
193,2,2,3,5,-1.7501254990751735e-25,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
194,2,2,3,6,-4.584303951414401e-08,1.4319765095200432,0.024775451517192584,0.04960986136003933,5.983260999607098
195,2,2,3,7,-0.24234498396630144,1.3646424384781408,0.01303853049705718,0.028961017374805168,5.598550577670931
196,2,2,4,1,-8.579170909135745e-14,1.4319765095200456,0.024775453791455362,0.04960986528648549,5.983261045450058
197,2,2,4,2,-1.4419165362869348e-19,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
198,2,2,4,3,-8.519741546689935e-31,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
199,2,2,4,4,-2.5989268005170517e-36,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
200,2,2,4,5,-4.665330063632873e-31,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
201,2,2,4,6,-4.6978950945417974e-14,1.4319765095200456,0.02477545379145732,0.04960986528648878,5.983261045450097
202,2,2,4,7,-4.584303951414401e-08,1.4319765095200432,0.024775451517192584,0.04960986136003933,5.983260999607098
203,2,2,5,1,-1.4419165362869348e-19,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
204,2,2,5,2,-3.1960560628241206e-25,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
205,2,2,5,3,-3.1960475431085633e-25,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
206,2,2,5,4,-8.519715557416871e-31,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
207,2,2,5,5,-5.014391726793206e-47,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
208,2,2,5,6,-4.665330063632873e-31,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
209,2,2,5,7,-1.7501316199936077e-25,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
210,2,3,1,1,-8.289282379138394e-21,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
211,2,3,1,2,-4.9319893665859205e-15,1.4319765095200456,0.02477545379145936,0.04960986528649242,5.9832610454501385
212,2,3,1,3,-2.1103805619373186e-14,1.4319765095200456,0.024775453791458624,0.04960986528649101,5.9832610454501225
213,2,3,1,4,-3.3574891148968787e-09,1.4319765095200407,0.024775453624894833,0.04960986499892381,5.983261042092644
214,2,3,1,5,0.09111681257669531,1.3646424384781422,0.026464850343471222,0.053608042753259554,5.93201237421393
215,2,3,1,6,1.7236090132828952e-08,1.4319765095200432,0.024775454646539588,0.04960986676276275,5.9832610626862275
216,2,3,1,7,1.1239983346451921e-14,1.4319765095200456,0.024775453791460192,0.0496098652864938,5.983261045450155
217,2,3,2,1,-4.9319893665859205e-15,1.4319765095200456,0.02477545379145936,0.04960986528649242,5.9832610454501385
218,2,3,2,2,-4.81273422321306e-09,1.4319765095200432,0.02477545355270043,0.04960986487428229,5.983261040637403
219,2,3,2,3,-4.93202483603932e-15,1.4319765095200456,0.02477545379145936,0.04960986528649242,5.9832610454501385
220,2,3,2,4,-3.440630220563602e-15,1.4319765095200456,0.024775453791459456,0.04960986528649255,5.98326104545014
221,2,3,2,5,1.7236073016266454e-08,1.4319765095200432,0.02477545464653884,0.049609866762761246,5.983261062686211
222,2,3,2,6,2.890307149767037e-14,1.4319765095200456,0.024775453791461108,0.04960986528649529,5.983261045450173
223,2,3,2,7,1.0968126317032583e-08,1.4319765095200432,0.02477545433558681,0.04960986622591203,5.983261056418264
224,2,3,3,1,-8.289282379138397e-21,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
225,2,3,3,2,-4.9319893665859205e-15,1.4319765095200456,0.02477545379145936,0.04960986528649242,5.9832610454501385
226,2,3,3,3,-8.289282379990366e-21,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
227,2,3,3,4,-3.416947996838935e-32,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
228,2,3,3,5,6.580113882327854e-26,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
229,2,3,3,6,-4.6978932054226105e-14,1.4319765095200456,0.02477545379145732,0.04960986528648878,5.983261045450097
230,2,3,3,7,-4.5843028274189433e-08,1.4319765095200432,0.024775451517193126,0.04960986136004033,5.9832609996071096
231,2,3,4,1,-8.51974304075458e-31,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
232,2,3,4,2,-1.4419165362874244e-19,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
233,2,3,4,3,-8.579170909135745e-14,1.4319765095200456,0.024775453791455362,0.04960986528648549,5.983261045450058
234,2,3,4,4,-1.4419165362869348e-19,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
235,2,3,4,5,-4.022078355519022e-36,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
236,2,3,4,6,-7.895830876320911e-20,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
237,2,3,4,7,-4.6978950945417974e-14,1.4319765095200456,0.02477545379145732,0.04960986528648878,5.983261045450097
