P1,P2,P3,P4,mean,variance,contained_before,ei,pi,ucb
1,4,4,6,-0.04906846747428124,0.999059605689964,False,0.0006270262686610562,0.0021373185474178142,1.9100097293362917
1,4,4,7,-0.08863414825186157,0.997485890660379,False,0.0005428243492204251,0.0018716639821262757,1.8689004740628783
1,4,5,1,-1.8791056642362818,0.6321121790362918,False,2.4175257561686654e-10,1.8877975425572295e-09,-0.3207982019600406
1,4,5,2,-1.1366894645784986,0.8646297888051155,False,2.2238329610406256e-06,1.1130921531905174e-05,0.6858257745001028
1,4,5,3,-0.26131601827033185,0.99320773098271,False,0.00028781433072849576,0.0010401342102486183,1.6920162164872834
1,4,5,4,-0.029064340107422353,0.999929295129973,False,0.0006742616072946865,0.0022848201298513913,1.930866367895109
1,4,5,5,-0.006149425676575024,0.9999960864704813,False,0.0007287925321179944,0.0024549010315828637,1.9538467390607444
1,4,5,6,-0.013960326327786923,0.9999545759803757,False,0.0007096937379799583,0.0023954848981612245,1.945995157627451
1,4,5,7,-0.020964922199780626,0.9998756528003787,False,0.0006928074674946568,0.00234287868653139,1.9389132137561098
1,4,6,1,-1.1457814047431292,0.8646639414211247,False,2.125679600270215e-06,1.0659893141745704e-05,0.6767698283813042
1,4,6,2,-0.6972632800311687,0.9502121084576872,False,3.8966787966524365e-05,0.00016242768416220948,1.2133216659607784
1,4,6,3,-0.1597830388030021,0.9975190091870344,False,0.0004238706849470182,0.0014879923363869492,1.7977840802743774
1,4,6,4,-0.015823832698624866,0.9999824459787234,False,0.0007053461906091968,0.0023818988401753433,1.944158964285028
1,4,6,5,-0.001564675625057366,0.9999999153939204,False,0.0007401430256357032,0.00249016996853752,1.9584352414609827
1,4,6,6,-0.0015056088417771105,0.9999996770250499,False,0.0007402892036157648,0.0024906241984869685,1.9584940746427464
1,4,6,7,-0.0019045836633480103,0.9999991684269519,False,0.0007392941579491144,0.0024875345095559647,1.9580946013948954
2,1,1,1,0.07308842006674447,0.9988278799571456,False,0.0009436052362328893,0.003116618153876728,2.0319394056303146
2,1,1,2,0.08747011985012355,0.9941967944086643,False,0.0009667724877455517,0.0031937884637195458,2.041774703429747
2,1,1,3,0.04239197966678389,0.9318547029037082,False,0.0005923175152395682,0.0020940246476731537,1.934431362627637
2,1,1,4,0.1415505380566256,0.8216147404312809,False,0.0004270278731537446,0.0016394020703923346,1.9181526845263435
2,1,1,5,0.2138878913976634,0.9227019779943025,False,0.0010207364975977334,0.0034745671080380416,2.09661249118992
2,1,1,6,0.0366672558370521,0.9863558758022749,False,0.0007838412942073611,0.0026422166459794975,1.9832500905712995
2,1,1,7,-0.12485222287678067,0.9927529063010632,False,0.00046621218469834313,0.0016290737967865384,1.8280327109701073
2,1,2,1,0.1192949158227997,0.9968852633453883,False,0.001087765209878952,0.0035551030497726374,2.0762400933041834
2,1,2,2,0.13271305739867187,0.992071532206993,False,0.0011100012899462192,0.0036298694832496187,2.084927696757363
2,1,2,3,-0.0009998401394364902,0.9696670152783634,False,0.0006301277576552444,0.0021769397615597876,1.9290449277075068
2,1,2,4,0.005743865714006757,0.9327175101986345,False,0.0005226635431289945,0.0018642591958992008,1.898658968717592
2,1,2,5,-0.06875457933338767,0.9672391162379317,False,0.0004907016804999633,0.0017290224567916635,1.858872404535545
2,1,2,6,-0.5001412930536314,0.9436340242087701,False,8.28140947329891e-05,0.00033177684739015977,1.4038189133058427
2,1,2,7,-0.749498266223301,0.8645871876111766,False,1.4254454780686664e-05,6.549189148131242e-05,1.072972073707392
2,1,3,1,0.06495721949278856,0.9988562699437208,False,0.000918705816789829,0.0030407922537257085,2.0238360433652094
2,1,3,2,0.0626761572684663,0.9974326864271531,False,0.0009052542760280436,0.003001743105170057,2.0201585730716203
2,1,3,3,-0.045270483685690324,0.9960772322390327,False,0.0006250906806521232,0.0021341646462062673,1.9108814264096037
2,1,3,4,-0.15962126625948006,0.9931853163452063,False,0.00041368614966441446,0.0014577076407656785,1.7936889270461671
2,1,3,5,-0.6366293720305085,0.94602619974465,False,4.8433417673888926e-05,0.00019988750280803476,1.26974264017987
2,1,3,6,-1.4760291004499733,0.7614809519847635,False,7.614241230975371e-08,4.6030467232376566e-07,0.23432326825790994
2,1,3,7,-1.5838948383336704,0.6118309380222335,False,1.307340359648266e-09,9.930293164391035e-09,-0.05079023280076278
2,1,4,1,-0.03931309518601875,0.9997748091133177,False,0.0006506805533124027,0.002211029013680084,1.9204662053194541
2,1,4,2,-0.15042930113350195,0.9973800550697105,False,0.000437656761976506,0.0015329678785189669,1.807001468920908
2,1,4,3,-0.27762941530881424,0.9930663277910258,False,0.0002710691815640538,0.0009836790828583934,1.6755637663406624
2,1,4,4,-0.35779274100500114,0.9906600669002148,False,0.00019897350343979665,0.0007378678810198373,1.5930326517464528
2,1,4,5,-0.9626443745820451,0.8645409940769783,False,5.223904343256517e-06,2.5181003889403087e-05,0.859777278835769
2,1,4,6,-1.782450528429628,0.6118538422889832,False,2.807924664191234e-10,2.2194852829914786e-09,-0.24931722680926405
2,1,4,7,-1.493562495219902,0.7615754445481253,False,6.85869129920429e-08,4.160630018422161e-07,0.21689598944907051
2,1,5,1,-0.18781883012435374,0.9973980985042538,False,0.0003837381388474689,0.0013567385905702827,1.7696296456251208
2,1,5,2,-0.7125007475800159,0.9501683241730097,False,3.6551481281886966e-05,0.00015289630864887596,1.198040179524932
2,1,5,3,-1.1564471384559536,0.8646493431638951,False,2.0144928875972913e-06,1.0125427395069023e-05,0.6660887093940739
2,1,5,4,-0.8090736468639229,0.9477329376996342,False,2.37876226193834e-05,0.00010193235784197884,1.0990172454855256
2,1,5,5,-0.6836475057509673,0.9473966224235938,False,4.0299736528018847e-05,0.00016790948555251374,1.2241048012067464
2,1,5,6,-0.9406890978883791,0.8646521802409975,False,5.812676455288992e-06,2.7880271743411353e-05,0.8818497400006291
